time,value
2014-11-12T05:30:00,10.53125
2014-11-12T05:35:00,10.5625
2014-11-12T05:40:00,10.546875
2014-11-12T05:45:00,10.53125
2014-11-12T05:50:00,10.53125
2014-11-12T05:55:00,10.5
2014-11-12T06:00:00,10.515625
2014-11-12T06:05:00,10.46875
2014-11-12T06:10:00,10.46875
2014-11-12T06:15:00,10.515625
2014-11-12T06:20:00,10.453125
2014-11-12T06:25:00,10.4375
2014-11-12T06:30:00,10.46875
2014-11-12T06:35:00,10.453125
2014-11-12T06:40:00,10.421875
2014-11-12T06:45:00,10.421875
2014-11-12T06:50:00,10.375
2014-11-12T06:55:00,10.40625
2014-11-12T07:00:00,10.359375
2014-11-12T07:05:00,10.375
2014-11-12T07:10:00,10.34375
2014-11-12T07:15:00,10.375
2014-11-12T07:20:00,10.34375
2014-11-12T07:25:00,10.328125
2014-11-12T07:30:00,10.296875
2014-11-12T07:35:00,10.3125
2014-11-12T07:40:00,10.28125
2014-11-12T07:45:00,10.28125
2014-11-12T07:50:00,10.296875
2014-11-12T07:55:00,10.265625
2014-11-12T08:00:00,10.265625
2014-11-12T08:05:00,10.265625
2014-11-12T08:10:00,10.28125
2014-11-12T08:15:00,10.296875
2014-11-12T08:20:00,10.25
2014-11-12T08:25:00,10.28125
2014-11-12T08:30:00,10.265625
2014-11-12T08:35:00,10.265625
2014-11-12T08:40:00,10.28125
2014-11-12T08:45:00,10.28125
2014-11-12T08:50:00,10.28125
2014-11-12T08:55:00,10.296875
2014-11-12T09:00:00,10.296875
2014-11-12T09:05:00,10.296875
2014-11-12T09:10:00,10.328125
2014-11-12T09:15:00,10.3125
2014-11-12T09:20:00,10.328125
2014-11-12T09:25:00,10.390625
2014-11-12T09:30:00,10.390625
2014-11-12T09:35:00,10.421875
2014-11-12T09:40:00,10.421875
2014-11-12T09:45:00,10.453125
2014-11-12T09:50:00,10.46875
2014-11-12T09:55:00,10.515625
2014-11-12T10:00:00,10.53125
2014-11-12T10:05:00,10.546875
2014-11-12T10:10:00,10.546875
2014-11-12T10:15:00,10.609375
2014-11-12T10:20:00,10.609375
2014-11-12T10:25:00,10.625
2014-11-12T10:30:00,10.6875
2014-11-12T10:35:00,10.734375
2014-11-12T10:40:00,10.71875
2014-11-12T10:45:00,10.796875
2014-11-12T10:50:00,10.84375
2014-11-12T10:55:00,10.921875
2014-11-12T11:00:00,10.96875
2014-11-12T11:05:00,11.015625
2014-11-12T11:10:00,11.09375
2014-11-12T11:15:00,11.125
2014-11-12T11:20:00,11.140625
2014-11-12T11:25:00,11.15625
2014-11-12T11:30:00,11.15625
2014-11-12T11:35:00,11.171875
2014-11-12T11:40:00,11.171875
2014-11-12T11:45:00,11.203125
2014-11-12T11:50:00,11.25
2014-11-12T11:55:00,11.28125
2014-11-12T12:00:00,11.3125
2014-11-12T12:05:00,11.3125
2014-11-12T12:10:00,11.359375
2014-11-12T12:15:00,11.390625
2014-11-12T12:20:00,11.390625
2014-11-12T12:25:00,11.375
2014-11-12T12:30:00,11.40625
2014-11-12T12:35:00,11.4375
2014-11-12T12:40:00,11.453125
2014-11-12T12:45:00,11.484375
2014-11-12T12:50:00,11.5
2014-11-12T12:55:00,11.546875
2014-11-12T13:00:00,11.59375
2014-11-12T13:05:00,11.609375
2014-11-12T13:10:00,11.640625
2014-11-12T13:15:00,11.65625
2014-11-12T13:20:00,11.671875
2014-11-12T13:25:00,11.6875
2014-11-12T13:30:00,11.71875
2014-11-12T13:35:00,11.75
2014-11-12T13:40:00,11.734375
2014-11-12T13:45:00,11.78125
2014-11-12T13:50:00,11.78125
2014-11-12T13:55:00,11.8125
2014-11-12T14:00:00,11.859375
2014-11-12T14:05:00,11.859375
2014-11-12T14:10:00,11.859375
2014-11-12T14:15:00,11.875
2014-11-12T14:20:00,11.890625
2014-11-12T14:25:00,11.90625
2014-11-12T14:30:00,11.9375
2014-11-12T14:35:00,11.9375
2014-11-12T14:40:00,11.90625
2014-11-12T14:45:00,11.90625
2014-11-12T14:50:00,11.90625
2014-11-12T14:55:00,11.921875
2014-11-12T15:00:00,11.890625
2014-11-12T15:05:00,11.90625
2014-11-12T15:10:00,11.90625
2014-11-12T15:15:00,11.859375
2014-11-12T15:20:00,11.90625
2014-11-12T15:25:00,11.875
2014-11-12T15:30:00,11.875
2014-11-12T15:35:00,11.859375
2014-11-12T15:40:00,11.875
2014-11-12T15:45:00,11.875
2014-11-12T15:50:00,11.859375
2014-11-12T15:55:00,11.859375
2014-11-12T16:00:00,11.875
2014-11-12T16:05:00,11.828125
2014-11-12T16:10:00,11.8125
2014-11-12T16:15:00,11.8125
2014-11-12T16:20:00,11.828125
2014-11-12T16:25:00,11.8125
2014-11-12T16:30:00,11.796875
2014-11-12T16:35:00,11.75
2014-11-12T16:40:00,11.75
2014-11-12T16:45:00,11.734375
2014-11-12T16:50:00,11.75
2014-11-12T16:55:00,11.71875
2014-11-12T17:00:00,11.65625
2014-11-12T17:05:00,11.671875
2014-11-12T17:10:00,11.640625
2014-11-12T17:15:00,11.59375
2014-11-12T17:20:00,11.578125
2014-11-12T17:25:00,11.5625
2014-11-12T17:30:00,11.546875
2014-11-12T17:35:00,11.53125
2014-11-12T17:40:00,11.53125
2014-11-12T17:45:00,11.484375
2014-11-12T17:50:00,11.46875
2014-11-12T17:55:00,11.4375
2014-11-12T18:00:00,11.421875
2014-11-12T18:05:00,11.40625
2014-11-12T18:10:00,11.375
2014-11-12T18:15:00,11.34375
2014-11-12T18:20:00,11.328125
2014-11-12T18:25:00,11.3125
2014-11-12T18:30:00,11.296875
2014-11-12T18:35:00,11.265625
2014-11-12T18:40:00,11.28125
2014-11-12T18:45:00,11.25
2014-11-12T18:50:00,11.203125
2014-11-12T18:55:00,11.234375
2014-11-12T19:00:00,11.1875
2014-11-12T19:05:00,11.140625
2014-11-12T19:10:00,11.109375
2014-11-12T19:15:00,11.09375
2014-11-12T19:20:00,11.078125
2014-11-12T19:25:00,11.09375
2014-11-12T19:30:00,11.046875
2014-11-12T19:35:00,11.03125
2014-11-12T19:40:00,11.0
2014-11-12T19:45:00,11.015625
2014-11-12T19:50:00,10.984375
2014-11-12T19:55:00,10.984375
2014-11-12T20:00:00,10.9375
2014-11-12T20:05:00,10.921875
2014-11-12T20:10:00,10.90625
2014-11-12T20:15:00,10.890625
2014-11-12T20:20:00,10.875
2014-11-12T20:25:00,10.828125
2014-11-12T20:30:00,10.796875
2014-11-12T20:35:00,10.828125
2014-11-12T20:40:00,10.828125
2014-11-12T20:45:00,10.796875
2014-11-12T20:50:00,10.734375
2014-11-12T20:55:00,10.75
2014-11-12T21:00:00,10.734375
2014-11-12T21:05:00,10.71875
2014-11-12T21:10:00,10.703125
2014-11-12T21:15:00,10.71875
2014-11-12T21:20:00,10.65625
2014-11-12T21:25:00,10.671875
2014-11-12T21:30:00,10.640625
2014-11-12T21:35:00,10.640625
2014-11-12T21:40:00,10.609375
2014-11-12T21:45:00,10.59375
2014-11-12T21:50:00,10.609375
2014-11-12T21:55:00,10.546875
2014-11-12T22:00:00,10.546875
2014-11-12T22:05:00,10.515625
2014-11-12T22:10:00,10.53125
2014-11-12T22:15:00,10.546875
2014-11-12T22:20:00,10.515625
2014-11-12T22:25:00,10.484375
2014-11-12T22:30:00,10.484375
2014-11-12T22:35:00,10.4375
2014-11-12T22:40:00,10.453125
2014-11-12T22:45:00,10.4375
2014-11-12T22:50:00,10.40625
2014-11-12T22:55:00,10.40625
2014-11-12T23:00:00,10.390625
2014-11-12T23:05:00,10.375
2014-11-12T23:10:00,10.390625
2014-11-12T23:15:00,10.34375
2014-11-12T23:20:00,10.328125
2014-11-12T23:25:00,10.328125
2014-11-12T23:30:00,10.3125
2014-11-12T23:35:00,10.296875
2014-11-12T23:40:00,10.296875
2014-11-12T23:45:00,10.296875
2014-11-12T23:50:00,10.28125
2014-11-12T23:55:00,10.265625
2014-11-13T00:00:00,10.25
